family,Photobacterium-profundum-SS9,Vibrio-cholerae-2740-80,Vibrio-cholerae-M66-2,Aliivibrio-salmonicida-LFI1238
0,1,1,1,1
1,1,1,1,1
2,1,0,0,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,0,0,0,57
7,1,1,1,1
8,1,1,1,1
9,1,0,1,1
10,1,1,1,1
11,2,1,1,1
12,2,1,2,2
13,0,0,0,26
14,0,0,1,1
15,1,1,1,1
16,0,0,0,91
17,1,1,1,1
18,0,1,1,1
19,1,1,1,1
20,1,1,1,1
21,0,0,0,2
22,0,0,0,91
23,1,0,0,1
24,1,1,1,1
25,1,1,1,1
26,0,0,1,1
27,1,0,1,1
28,1,1,1,1
29,1,1,1,1
30,1,1,1,1
31,0,1,1,1
32,0,0,0,44
33,1,1,1,1
34,1,1,1,1
35,1,1,1,1
36,1,0,1,1
37,0,0,0,10
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,0,1,1,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,0,0,1
50,1,1,1,1
51,1,1,1,1
52,0,0,1,1
53,1,1,1,1
54,0,1,1,1
55,1,1,1,1
56,1,0,0,1
57,1,1,1,1
58,1,0,0,2
59,1,0,0,27
60,0,0,0,2
61,1,1,1,1
62,1,1,1,1
63,0,0,0,66
64,0,1,1,1
65,0,1,1,1
66,0,1,1,1
67,1,1,1,1
68,1,1,1,1
69,1,0,0,1
70,1,0,1,1
71,1,0,1,1
72,1,1,1,1
73,1,1,1,1
74,1,1,1,1
75,1,1,1,1
76,0,0,0,2
77,1,1,1,1
78,1,1,1,1
79,0,0,0,9
80,1,1,1,1
81,1,1,1,1
82,1,0,1,1
83,1,1,1,1
84,1,1,1,1
85,0,1,1,1
86,1,1,1,1
87,1,1,1,1
88,0,0,0,2
89,1,1,1,1
90,1,1,1,1
91,1,1,1,1
92,1,1,1,1
93,1,1,1,1
94,1,1,1,1
95,1,1,1,1
96,0,1,1,1
97,1,1,1,1
98,1,1,1,1
99,1,1,1,1
100,1,1,1,1
101,1,1,1,1
102,1,1,1,1
103,1,0,0,1
104,1,1,1,1
105,1,1,1,1
106,1,1,1,1
107,1,1,1,1
108,1,1,1,1
109,1,1,1,1
110,1,1,1,1
111,0,1,1,1
112,1,1,1,1
113,1,0,1,1
114,1,0,0,1
115,0,0,0,2
116,1,0,0,1
117,1,0,0,1
118,1,1,1,1
119,0,1,1,1
120,1,0,1,1
121,1,0,0,1
122,1,1,2,1
123,1,0,0,1
124,1,1,1,1
125,1,0,1,1
126,1,0,0,1
127,0,1,1,1
128,1,1,1,1
129,1,1,1,1
130,0,1,1,1
131,1,0,1,1
132,1,1,1,1
133,1,1,1,1
134,1,1,1,1
135,2,2,2,2
136,1,1,1,1
137,1,0,0,1
138,1,1,1,1
139,1,1,1,1
140,2,1,1,2
141,1,0,0,1
142,1,1,1,1
143,1,1,1,1
144,1,1,1,1
145,1,1,1,1
146,1,1,1,1
147,0,1,1,1
148,1,0,0,1
149,1,1,1,1
150,0,0,0,2
151,1,1,1,1
152,2,0,2,1
153,2,1,1,1
154,1,1,1,1
155,1,1,1,1
156,1,0,0,1
157,0,1,1,1
158,1,0,0,1
159,1,1,1,1
160,1,1,1,1
161,1,1,1,1
162,1,1,1,1
163,1,1,1,1
164,1,1,1,1
165,1,1,1,1
166,0,0,0,2
167,0,0,1,1
168,1,1,1,1
169,1,1,1,1
170,0,0,0,2
171,1,1,1,1
172,0,0,0,3
173,1,1,1,1
174,1,0,0,1
175,1,1,1,1
176,1,1,1,1
177,1,1,1,1
178,1,0,0,1
179,1,0,0,1
180,1,0,0,1
181,0,1,1,1
182,1,0,0,1
183,1,1,1,1
184,1,1,1,1
185,1,0,1,1
186,1,1,1,1
187,1,1,1,1
188,1,1,2,1
189,0,0,0,3
190,1,1,1,1
191,0,1,1,1
192,0,1,1,1
193,1,1,1,1
194,1,0,1,1
195,1,1,1,1
196,1,0,0,1
197,2,1,1,1
198,1,1,1,1
199,1,1,1,1
200,0,0,0,2
201,1,1,1,1
202,1,1,1,1
203,0,0,0,3
204,1,1,1,1
205,1,1,1,1
206,1,1,1,1
207,1,1,1,1
208,0,1,1,1
209,1,1,1,1
210,1,1,1,1
211,1,1,1,1
212,1,0,0,1
213,1,1,1,1
214,1,1,1,1
215,0,1,1,1
216,1,1,1,1
217,1,1,1,1
218,1,1,1,1
219,0,1,1,1
220,0,1,1,1
221,1,1,1,1
222,1,0,0,1
223,1,1,1,1
224,0,1,1,1
225,1,1,1,1
226,1,2,1,1
227,0,1,1,1
228,1,1,1,1
229,1,1,1,1
230,1,0,0,1
231,0,1,1,1
232,1,0,0,1
233,1,1,1,1
234,1,1,1,1
235,1,1,1,1
236,1,1,1,1
237,1,1,1,1
238,1,0,0,1
239,1,1,1,1
240,1,1,1,1
241,1,1,1,1
242,1,1,1,1
243,1,1,1,1
244,1,1,1,1
245,1,1,1,1
246,1,0,0,1
247,1,1,1,1
248,1,0,0,1
249,1,1,1,1
250,1,0,0,1
251,2,0,0,1
252,1,1,1,1
253,1,1,1,1
254,1,0,1,1
255,1,1,1,1
256,1,1,1,1
257,1,1,1,1
258,1,1,1,1
259,1,1,1,1
260,1,1,1,1
261,1,1,1,1
262,1,0,0,1
263,1,1,1,1
264,1,0,0,1
265,0,0,0,3
266,0,0,0,2
267,1,1,1,1
268,0,1,1,1
269,1,1,1,1
270,1,0,1,1
271,1,1,1,1
272,1,0,0,1
273,1,1,1,1
274,0,0,1,1
275,1,0,1,1
276,1,1,1,1
277,0,0,1,1
278,1,1,1,1
279,1,1,1,1
280,1,0,0,1
281,1,1,1,1
282,1,1,1,1
283,1,1,1,1
284,1,1,1,1
285,1,1,1,1
286,1,1,1,1
287,1,0,1,1
288,1,0,1,1
289,1,1,1,1
290,0,0,0,2
291,0,0,0,3
292,1,0,0,1
293,1,1,1,1
294,0,0,0,2
295,1,1,1,1
296,1,0,1,1
297,1,1,1,1
298,0,0,0,2
299,1,0,0,1
300,1,1,1,1
301,1,1,1,1
302,1,0,0,1
303,1,1,1,1
304,0,0,0,2
305,1,1,1,1
306,1,0,0,1
307,1,1,1,1
308,1,0,0,1
309,0,1,1,1
310,2,0,0,2
311,1,1,1,1
312,1,1,1,1
313,1,0,0,1
314,1,1,1,1
315,1,1,1,1
316,1,1,1,1
317,1,0,0,1
318,1,0,1,1
319,1,0,1,1
320,1,1,1,1
321,1,1,1,1
322,1,0,1,1
323,0,2,2,3
324,1,1,1,1
325,1,1,1,1
326,0,0,0,2
327,1,1,1,1
328,2,1,1,2
329,2,1,1,2
330,1,0,1,1
331,1,1,1,1
332,1,1,1,1
333,1,0,0,1
334,1,1,1,1
335,1,1,1,1
336,1,1,1,1
337,1,1,1,1
338,1,1,1,1
339,1,1,1,1
340,1,0,1,1
341,1,0,1,1
342,1,1,1,1
343,1,1,1,1
344,0,1,1,1
345,0,5,6,1
346,1,1,1,1
347,0,1,1,1
348,1,1,1,1
349,0,1,1,1
350,0,0,1,1
351,1,0,1,1
352,0,0,0,2
353,1,1,1,1
354,0,0,1,1
355,0,0,0,2
356,1,0,0,1
357,0,1,1,1
358,1,0,0,1
359,1,1,1,1
360,1,1,1,1
361,1,1,1,1
362,1,1,1,1
363,1,1,1,1
364,0,1,1,1
365,0,0,1,1
366,1,1,1,1
367,0,5,2,1
368,0,0,0,2
369,1,1,1,1
370,0,1,1,1
371,1,1,1,1
372,1,1,1,1
373,1,1,1,1
374,1,0,0,1
375,1,1,1,1
376,1,0,0,1
377,1,0,1,1
378,1,1,1,1
379,1,1,1,1
380,1,1,1,1
381,1,1,1,1
382,1,1,1,1
383,1,1,1,1
384,1,1,1,1
385,1,1,1,1
386,0,1,1,1
387,1,1,1,1
388,1,1,1,1
389,1,1,1,1
390,0,1,1,1
391,1,1,1,1
392,1,1,1,1
393,0,1,1,1
394,1,0,0,1
395,1,1,1,1
396,1,1,1,1
397,1,1,1,1
398,1,0,1,1
399,1,1,1,1
400,1,1,1,1
401,1,1,1,1
402,1,1,1,1
403,0,1,1,1
404,1,1,1,1
405,0,2,2,1
406,1,1,1,1
407,0,1,1,1
408,1,1,1,1
409,0,0,0,2
410,1,1,1,1
411,1,1,1,1
412,1,1,1,1
413,1,1,1,1
414,1,1,1,1
415,1,1,1,2
416,0,1,1,1
417,0,1,1,1
418,1,1,1,1
419,1,1,1,1
420,1,0,0,1
421,1,1,1,1
422,1,1,1,1
423,0,1,1,1
424,0,0,0,2
425,1,0,1,1
426,1,1,1,1
427,1,1,1,1
428,0,1,1,1
429,1,1,1,1
430,1,1,1,1
431,1,1,1,1
432,0,0,0,2
433,1,1,1,1
434,0,0,1,1
435,1,1,1,1
436,0,1,1,1
437,1,1,1,1
438,0,1,1,1
439,1,0,0,1
440,1,1,1,1
441,1,1,1,1
442,0,0,0,2
443,1,1,1,1
444,1,1,1,1
445,1,1,1,1
446,1,0,0,1
447,1,1,1,1
448,1,1,1,1
449,1,1,1,1
450,1,0,1,1
451,2,0,0,1
452,1,1,1,1
453,1,1,1,1
454,1,1,1,1
455,0,1,1,1
456,1,1,1,1
457,0,1,1,1
458,1,0,0,1
459,1,0,1,1
460,1,1,1,1
461,1,1,1,1
462,1,0,1,1
463,1,1,1,1
464,1,0,1,1
465,0,0,0,2
466,1,1,1,1
467,1,1,1,1
468,1,1,1,1
469,1,1,1,1
470,1,1,1,1
471,1,0,1,1
472,1,1,1,1
473,1,1,1,1
474,1,1,1,1
475,2,2,2,2
476,1,0,0,1
477,1,1,1,1
478,0,1,1,1
479,1,1,1,1
480,1,1,1,1
481,1,1,1,1
482,0,0,0,2
483,1,1,1,1
484,1,1,1,1
485,0,1,1,1
486,0,0,0,2
487,1,1,1,1
488,1,1,2,1
489,1,0,0,1
490,1,1,1,1
491,1,0,0,1
492,1,1,1,1
493,1,1,1,1
494,1,0,1,1
495,1,1,1,1
496,1,1,1,1
498,1,1,1,1
499,0,1,1,1
500,0,1,1,1
501,1,0,1,1
502,1,0,0,1
503,1,0,0,1
504,1,1,1,1
505,2,1,1,1
506,1,0,0,1
507,1,1,1,1
508,2,1,1,1
509,1,1,1,1
510,1,0,1,1
511,0,1,1,1
512,1,0,0,1
513,0,1,1,1
514,1,1,1,1
515,1,1,1,1
516,1,1,1,1
517,1,0,0,1
518,1,1,1,1
519,1,1,1,1
520,1,1,1,1
521,1,1,1,1
522,1,1,1,1
523,1,1,1,1
524,1,1,1,1
525,1,1,1,1
526,1,1,1,1
527,1,1,1,1
528,1,1,1,1
529,1,0,0,1
530,0,1,1,1
531,1,0,0,1
532,1,1,1,1
533,1,1,1,1
534,1,1,1,1
535,1,1,1,1
536,1,1,1,1
537,1,0,0,1
538,1,1,1,1
539,1,0,1,1
540,0,1,1,1
541,1,0,0,1
542,1,0,1,1
543,1,1,1,1
544,1,1,1,1
545,1,1,1,1
546,1,1,1,1
547,1,1,1,1
548,1,1,1,1
549,1,1,1,1
550,1,1,1,1
551,1,1,1,1
552,1,1,1,1
553,1,1,1,1
554,0,1,1,1
555,1,0,0,1
556,1,1,1,1
557,1,1,1,1
558,1,0,0,1
559,1,1,1,1
560,1,1,1,1
561,1,1,1,1
562,1,1,1,1
563,0,0,0,2
564,1,1,1,1
565,1,0,0,1
566,1,0,0,1
567,1,0,1,1
568,1,1,1,1
569,1,0,0,1
570,1,1,1,1
571,1,0,1,1
572,1,1,1,1
573,1,1,1,1
574,1,1,1,1
575,1,0,1,1
576,1,1,1,1
577,0,1,1,1
578,1,1,1,1
579,0,5,6,2
580,1,1,1,1
581,1,1,1,1
582,1,0,1,1
583,1,1,1,1
584,1,0,0,1
585,1,0,0,1
586,0,1,1,1
587,1,0,1,1
588,0,0,0,2
589,0,1,1,1
590,1,1,1,1
591,1,0,1,1
592,1,0,0,1
593,1,1,1,1
594,1,0,1,1
595,1,1,1,1
596,0,1,1,1
597,1,1,1,1
598,1,1,1,1
599,1,0,0,1
600,1,1,1,1
601,1,1,1,1
602,1,1,1,1
603,1,1,1,1
604,1,1,1,1
605,0,0,0,2
606,1,1,1,1
607,1,1,1,1
608,1,1,1,1
609,1,0,1,1
610,1,1,1,1
611,0,1,1,1
612,1,1,1,1
613,1,1,1,1
614,1,1,1,1
615,1,1,1,1
616,0,1,1,1
617,1,1,1,1
618,0,1,1,1
619,1,1,1,1
620,1,0,1,1
621,1,1,1,1
622,1,1,1,1
623,1,1,1,1
624,1,1,1,1
625,1,1,1,1
626,0,1,1,1
627,1,1,1,1
628,0,0,0,2
629,1,1,1,1
630,1,0,0,1
631,1,1,1,1
632,0,1,1,1
633,1,1,1,1
634,1,1,1,1
635,1,1,1,1
636,1,1,1,1
637,0,1,1,1
638,1,1,1,1
639,1,1,1,1
640,1,1,1,1
641,1,1,1,1
642,1,1,1,1
643,1,0,0,1
644,0,1,1,1
645,1,1,1,1
646,0,1,1,1
647,0,1,1,1
648,1,0,0,1
649,1,1,1,1
650,1,1,1,1
651,1,1,1,1
652,0,0,0,2
653,1,1,1,1
654,1,0,0,1
655,1,1,1,1
656,1,1,1,1
657,1,1,1,1
658,1,0,0,1
659,1,0,1,1
660,1,1,1,1
661,1,1,1,1
662,1,1,1,1
663,1,1,1,1
664,0,1,1,1
665,1,1,1,1
666,1,1,1,1
667,1,1,1,1
668,1,0,1,1
669,1,1,1,1
670,1,0,0,1
671,1,1,1,1
672,1,1,1,1
673,1,1,1,1
674,1,1,1,1
675,0,1,1,1
676,1,0,0,1
677,1,1,1,1
678,1,1,1,1
679,1,1,1,1
680,0,1,1,1
681,1,0,1,1
682,1,1,1,1
683,0,0,1,1
684,1,0,1,1
685,1,1,1,1
686,1,0,0,1
687,1,1,1,1
688,1,1,1,1
689,1,0,0,1
690,1,0,0,1
691,1,1,1,1
692,1,1,1,1
693,0,1,1,1
694,1,1,1,1
695,0,0,0,2
696,0,0,0,2
697,1,1,1,1
698,1,1,1,1
699,1,1,1,1
700,1,0,0,1
701,1,1,1,1
702,1,0,1,1
703,1,0,0,1
704,1,1,1,1
705,1,0,0,1
706,1,1,1,1
707,1,1,1,1
708,1,1,1,1
709,1,0,0,1
710,0,1,1,1
711,0,1,1,1
712,1,1,1,1
713,1,0,1,1
714,1,1,1,1
715,1,0,0,1
716,1,1,1,1
717,1,0,0,1
718,1,1,1,1
719,1,0,0,1
720,1,1,1,1
721,1,1,1,1
722,6,2,2,3
723,1,1,1,1
724,0,1,1,1
725,1,0,0,1
726,1,1,1,1
727,1,0,0,1
728,1,1,1,1
729,1,0,0,1
730,1,1,1,1
731,1,1,1,1
732,1,0,0,1
733,1,1,1,1
734,1,1,1,1
735,1,1,1,1
736,1,1,1,1
737,0,1,1,1
738,1,1,1,1
739,0,1,1,1
740,1,0,0,1
741,1,0,0,1
742,1,0,0,1
743,0,1,1,1
744,1,1,1,1
745,1,1,1,1
746,1,1,1,1
747,1,1,1,1
748,1,1,1,1
749,1,1,1,1
750,0,1,1,1
751,1,1,1,1
752,1,1,1,1
753,1,0,1,1
754,1,1,1,1
755,1,1,1,1
756,1,1,1,1
757,0,0,1,1
758,1,1,1,1
759,1,0,0,1
760,0,1,1,1
761,1,1,1,1
762,1,1,1,1
763,1,1,1,1
764,1,0,0,1
765,1,1,1,1
766,1,1,1,1
767,0,1,1,1
768,1,1,1,1
769,0,1,1,1
770,0,1,1,1
771,2,0,0,1
772,1,1,1,1
773,1,1,1,1
774,0,1,1,1
775,1,0,0,1
776,1,1,1,1
777,1,1,1,1
778,1,1,1,1
779,1,1,1,1
780,1,1,1,1
781,1,1,1,1
782,1,0,1,1
783,0,1,1,1
784,1,1,1,1
785,1,1,1,1
786,1,0,1,1
787,1,1,1,1
788,1,1,1,1
789,1,1,1,1
790,1,1,1,1
791,1,1,1,1
792,1,0,0,1
793,1,0,1,1
794,1,1,1,1
795,1,1,1,1
796,1,0,0,1
797,1,1,1,1
798,1,1,1,1
799,1,1,1,1
800,1,1,1,1
801,1,1,1,1
802,1,0,1,1
803,1,1,1,1
804,1,0,0,1
805,0,0,0,2
806,1,1,1,1
807,1,1,1,1
808,1,1,1,1
809,1,1,1,1
810,1,1,1,1
811,1,1,1,1
812,1,1,1,1
813,1,1,1,1
814,1,1,1,1
815,1,0,1,1
816,1,1,1,1
817,1,0,0,1
818,1,1,1,1
819,1,0,0,1
820,1,1,1,1
821,1,1,1,1
822,1,0,0,1
823,1,1,1,1
824,1,0,0,1
825,1,1,1,1
826,1,0,1,1
827,1,1,1,1
828,1,1,1,1
829,1,0,0,1
830,1,0,1,1
831,1,1,1,1
832,1,1,1,1
833,0,1,1,1
834,1,0,1,1
835,1,1,1,1
836,1,1,1,1
837,1,0,1,1
838,1,1,1,1
839,1,0,1,1
840,1,0,0,1
841,0,1,1,1
842,1,0,0,1
843,0,1,1,1
844,1,1,1,1
845,1,1,1,1
846,1,1,1,1
847,0,1,1,1
848,1,0,0,1
849,1,1,1,1
850,1,1,1,1
851,1,1,1,1
852,1,0,0,1
853,1,1,1,1
854,1,0,1,1
855,1,1,1,1
856,1,0,1,1
857,0,1,1,1
858,1,1,1,1
859,1,0,1,1
860,1,0,1,1
861,1,1,1,1
862,0,1,1,1
863,1,1,1,1
864,1,0,1,1
865,0,0,0,2
866,1,1,1,1
867,0,0,0,2
868,0,1,1,1
869,1,1,1,1
870,1,1,1,1
871,1,1,1,1
872,1,1,1,1
873,1,0,0,1
874,1,1,1,1
875,1,1,1,1
876,1,0,1,1
877,1,1,1,1
878,1,1,1,1
879,1,1,1,2
880,1,1,1,1
881,0,1,1,1
882,0,1,1,1
883,0,0,0,2
884,0,1,1,1
885,1,1,1,1
886,1,0,0,1
887,1,1,1,1
888,1,1,1,1
889,1,0,0,1
890,1,1,1,1
891,1,1,1,1
892,1,1,1,1
893,1,2,1,1
894,1,1,1,1
895,1,1,1,1
896,1,1,1,1
897,1,1,1,1
898,1,1,1,1
899,1,1,1,1
900,1,1,1,1
901,1,0,0,1
902,1,1,1,1
903,1,1,1,1
904,1,1,1,1
905,0,1,1,1
906,1,0,1,1
907,1,1,1,1
908,1,1,1,1
909,1,1,1,1
910,1,1,1,1
911,1,1,1,1
912,1,1,1,1
913,1,1,1,1
914,1,0,0,1
915,1,0,0,1
916,1,0,1,1
917,1,1,1,1
918,1,1,1,1
919,1,1,1,1
920,0,1,1,1
921,1,0,0,1
922,1,1,1,1
923,1,0,1,1
924,1,1,1,1
925,1,1,1,1
926,1,0,1,1
927,1,0,0,1
928,1,1,1,1
929,1,1,1,1
930,1,0,1,1
931,1,1,1,1
932,1,0,2,1
933,1,1,1,1
934,1,1,1,1
935,0,1,1,1
936,2,1,1,1
937,1,1,1,1
938,1,1,1,1
939,1,1,1,1
940,1,1,1,1
941,1,1,1,1
942,1,1,1,1
943,1,1,1,1
944,1,1,1,1
945,1,1,1,1
946,0,1,1,1
947,1,0,0,1
948,1,1,1,1
949,1,0,0,1
950,1,0,0,1
951,1,0,0,1
952,1,1,1,1
953,1,1,1,1
954,1,0,0,1
955,1,0,1,1
956,1,1,1,1
957,1,0,0,1
958,1,1,1,1
959,1,0,0,1
960,1,1,1,1
961,1,1,1,1
962,0,1,1,1
963,1,1,1,1
964,0,0,0,2
965,1,1,1,1
966,0,1,1,1
967,1,1,1,1
968,1,1,1,1
969,1,1,1,1
970,1,1,1,1
971,1,0,0,1
972,1,0,1,1
973,1,0,0,1
974,1,1,1,1
975,1,1,1,1
976,1,1,1,1
977,0,1,1,1
978,0,0,1,1
979,1,1,1,1
980,1,1,1,1
981,1,1,1,1
982,1,1,1,1
983,1,1,1,1
984,1,0,0,1
985,1,0,1,1
986,1,1,1,1
987,1,1,1,1
988,1,1,1,1
989,1,1,1,1
990,1,0,0,1
991,1,0,1,1
992,1,1,1,1
993,1,0,1,1
994,0,1,1,1
995,1,1,1,1
996,1,0,1,1
997,1,1,1,1
998,1,2,2,1
999,1,1,1,1
1000,1,1,1,1
1001,0,1,1,1
1002,0,1,1,1
1003,1,1,1,1
1004,1,1,1,1
1005,1,1,1,1
1006,0,1,1,1
1007,1,0,0,1
1008,0,1,1,1
1009,1,0,1,1
1010,1,1,1,1
1011,1,0,1,1
1012,1,0,0,1
1013,1,0,0,1
1014,1,1,1,1
1015,1,1,1,1
1016,1,1,1,1
1017,1,0,0,1
1018,1,0,0,1
1019,1,0,1,1
1020,1,1,1,1
1021,1,0,1,1
1022,1,1,1,1
1023,0,1,1,1
1024,1,1,1,1
1025,0,1,1,1
1026,1,1,1,1
1027,1,1,1,1
1028,1,1,1,1
1029,1,1,1,1
1030,1,1,1,1
1031,1,1,1,1
1032,0,1,2,1
1033,1,1,1,1
1034,1,1,1,1
1035,0,1,1,1
1036,1,1,1,1
1037,1,0,0,1
1038,1,0,0,1
1039,0,1,1,1
1040,1,0,1,1
1041,1,1,1,1
1042,0,1,1,1
1043,1,0,0,1
1044,1,1,1,1
1045,1,0,0,1
1046,1,1,1,1
1047,1,0,1,1
1048,1,1,1,1
1049,1,1,1,1
1050,1,1,1,1
1051,1,1,1,1
1052,1,1,1,1
1053,1,1,1,1
1054,1,0,0,1
1055,1,0,1,1
1056,2,0,1,1
1057,0,1,1,1
1058,1,1,1,1
1059,0,1,1,1
1060,0,1,1,1
1061,1,1,1,1
1062,1,0,0,1
1063,1,1,1,1
1064,1,0,0,1
1065,0,1,1,1
1066,1,1,1,1
1067,1,1,1,1
1068,0,0,0,2
1069,1,1,1,1
1070,0,1,1,1
1071,1,1,1,1
1072,1,0,0,1
1073,1,1,1,1
1074,0,1,1,1
1075,1,1,1,1
1076,1,0,0,1
1077,1,1,1,1
1078,0,1,1,1
1079,2,1,1,1
1080,1,1,1,1
1081,1,1,1,1
1082,1,1,1,1
1083,1,1,1,1
1084,1,1,1,1
1085,1,1,1,1
1086,1,1,1,1
1087,1,0,0,1
1088,1,1,1,1
1089,2,2,2,1
1090,1,1,1,1
1091,0,0,0,2
1092,1,1,1,1
1093,1,1,1,1
1094,1,1,1,1
1095,1,1,1,1
1096,1,0,1,1
1097,1,1,1,1
1098,1,1,1,1
1099,1,1,1,1
1100,1,0,0,1
1101,1,1,1,1
1102,1,1,1,1
1103,1,0,0,1
1104,1,1,1,1
1105,1,1,1,1
1106,1,1,1,1
1107,0,1,1,1
1108,1,0,1,1
1109,1,0,0,1
1110,1,1,1,1
1111,1,1,1,1
1112,0,1,1,1
1113,1,1,1,1
1114,1,1,1,1
1115,0,1,1,1
1116,1,0,1,1
1117,1,0,0,1
1118,0,1,1,1
1119,0,1,1,1
1120,1,1,1,1
1121,0,1,1,1
1122,1,1,1,1
1123,1,1,1,1
1124,1,0,1,1
1125,1,1,1,1
1126,1,1,1,1
1127,1,0,0,1
1128,1,1,1,1
1129,1,1,1,1
1130,1,0,0,1
1131,1,1,1,1
1132,1,1,1,1
1133,2,1,1,1
1134,1,1,1,1
1135,1,0,0,1
1136,1,1,1,1
1137,0,0,0,2
1138,0,1,1,1
1139,1,1,1,1
1140,1,1,1,1
1141,1,0,0,1
1142,1,1,1,1
1143,1,1,1,1
1144,1,1,1,1
1145,1,1,1,1
1146,1,1,1,1
1147,1,1,1,1
1148,1,0,1,1
1149,1,0,0,1
1150,1,1,1,1
1151,1,0,0,1
1152,1,1,1,1
1153,1,0,0,1
1154,0,1,1,1
1155,1,1,1,1
1156,1,1,1,1
1157,1,1,1,1
1158,1,0,1,1
1159,1,1,1,1
1160,2,1,1,1
1161,1,0,1,1
1162,1,0,0,1
1163,1,0,0,1
1164,1,1,1,1
1165,1,1,1,1
1166,1,0,1,1
1167,0,0,0,2
1168,1,1,1,1
1169,1,1,1,1
1170,1,0,0,1
1171,0,1,1,1
1172,1,1,1,1
1173,1,0,0,1
1174,1,1,1,1
1175,1,1,1,1
1176,1,1,1,1
1177,1,1,1,1
1178,1,1,1,1
1179,1,0,0,1
1180,1,0,1,1
1181,0,1,1,1
1182,1,1,1,1
1183,0,1,1,1
1184,2,0,1,1
1185,1,1,1,1
1186,1,1,1,1
1187,1,0,0,1
1188,1,1,1,1
1189,1,1,1,1
1190,1,1,1,1
1191,2,0,0,1
1192,1,0,1,1
1193,1,0,0,1
1194,1,1,1,1
1195,1,1,1,1
1196,1,1,1,1
1197,1,0,0,1
1198,1,1,1,1
1199,1,1,1,1
1200,1,1,1,1
1201,0,1,1,1
1202,1,0,0,1
1203,1,0,1,1
1204,1,1,1,1
1205,1,0,0,1
1206,1,1,1,1
1207,1,1,1,1
1208,1,1,1,1
1209,1,1,1,1
1210,1,1,1,1
1211,1,1,1,1
1212,1,1,1,1
1213,0,0,1,1
1214,1,1,1,1
1215,1,1,1,1
1216,1,1,1,1
1217,1,1,1,1
1218,1,0,1,1
1219,1,1,1,1
1220,1,1,1,1
1221,1,0,0,1
1222,1,1,1,1
1223,1,1,1,1
1224,1,0,0,1
1225,1,1,1,1
1226,1,0,1,1
1227,1,1,1,1
1228,1,1,1,1
1229,0,2,2,1
1230,1,1,1,1
1231,1,1,1,1
1232,0,1,1,1
1233,1,0,0,1
1234,0,1,1,1
1235,1,1,1,1
1236,1,1,1,1
1237,1,1,1,1
1238,1,1,1,1
1239,1,1,1,1
1240,0,1,1,1
1241,1,0,0,1
1242,0,1,1,1
1243,1,1,1,1
1244,1,1,1,1
1245,1,1,1,1
1246,1,1,1,1
1247,0,1,1,1
1248,1,1,1,1
1249,1,1,1,1
1250,1,1,1,1
1251,1,1,1,1
1252,0,1,1,1
1253,0,1,1,1
1254,1,0,0,1
1255,1,0,1,1
